1,0.6092 
2,0.4666 
3,0.3738 
4,0.3356 
5,0.3286 
6,0.3080 
7,0.2706 
8,0.2613 
9,0.2284 
10,0.1969 
11,0.1897 
12,0.1662 
13,0.1475 
14,0.2350 
15,0.1872 
16,0.1131 
17,0.1025 
18,0.1450 
19,0.0960 
20,0.0901 
21,0.0944 
22,0.0790 
23,0.1302 
24,0.1736 
25,0.1693 
26,0.2536 
27,0.1606 
28,0.0840 
29,0.1242 
30,0.0956 
31,0.0750 
32,0.1275 
33,0.0870 
34,0.0615 
35,0.0715 
36,0.0716 
37,0.0763 
38,0.1797 
39,0.0575 
40,0.0582 
41,0.0822 
42,0.0984 
43,0.0773 
44,0.1027 
45,0.0540 
46,0.0807 
47,0.0658 
48,0.0609 
49,0.0599 
50,0.0737 
51,0.0703 
52,0.0607 
53,0.0941 
54,0.1158 
55,0.0607 
56,0.1427 
57,0.0975 
58,0.1086 
59,0.0886 
60,0.0858 
61,0.0863 
62,0.0636 
63,0.1626 
64,0.0868 
65,0.0710 
66,0.0594 
67,0.0650 
68,0.1070 
69,0.0490 
70,0.0498 
71,0.1023 
72,0.0588 
73,0.1084 
74,0.0641 
75,0.0583 
76,0.0869 
77,0.0694 
78,0.0859 
79,0.0821 
80,0.0728 
81,0.0718 
82,0.0769 
83,0.0573 
84,0.1062 
85,0.0473 
86,0.0563 
87,0.0459 
88,0.1098 
89,0.0639 
90,0.0556 
91,0.0502 
92,0.0463 
93,0.0791 
94,0.0476 
95,0.0510 
96,0.0952 
97,0.0784 
98,0.0574 
99,0.0554 
100,0.0909 
101,0.0781 
102,0.0647 
103,0.1160 
104,0.0605 
105,0.0590 
106,0.0593 
107,0.0643 
108,0.0448 
109,0.0440 
110,0.0955 
111,0.0677 
112,0.0464 
113,0.0669 
114,0.0566 
115,0.0951 
116,0.0920 
117,0.0955 
118,0.0455 
119,0.0900 
120,0.0733 
121,0.0780 
122,0.0459 
123,0.0912 
124,0.0474 
125,0.0711 
126,0.0476 
127,0.0648 
128,0.0458 
129,0.0694 
130,0.0516 
131,0.0819 
132,0.0569 
133,0.0687 
134,0.0691 
135,0.0498 
136,0.0683 
137,0.0806 
138,0.0562 
139,0.1097 
140,0.0473 
141,0.0421 
142,0.0462 
143,0.0419 
144,0.0446 
145,0.1042 
146,0.0907 
147,0.0612 
148,0.0737 
149,0.0524 
150,0.0791 
151,0.0472 
152,0.0577 
153,0.0728 
154,0.0959 
155,0.0510 
156,0.0497 
157,0.0679 
158,0.0534 
159,0.0888 
160,0.0753 
161,0.0426 
162,0.1159 
163,0.0673 
164,0.1273 
165,0.0548 
166,0.0456 
167,0.0502 
168,0.0437 
169,0.1280 
170,0.0839 
171,0.0413 
172,0.0434 
173,0.0779 
174,0.0938 
175,0.0502 
176,0.0410 
177,0.0531 
178,0.0754 
179,0.0596 
180,0.0537 
181,0.0410 
182,0.0409 
183,0.1056 
184,0.0620 
185,0.0408 
186,0.0677 
187,0.0510 
188,0.0763 
189,0.0758 
190,0.0595 
191,0.0661 
192,0.0438 
193,0.0685 
194,0.0627 
195,0.0775 
196,0.1311 
197,0.0801 
198,0.0606 
199,0.0622 
200,0.0691
